exercise_id,picture,,,,
2,exercise\lat+pulldown\bw3.jpg,Lat-Band Pulldown,,,
2,exercise\lat+pulldown\bw4.jpg,Lat-Band Pulldown,,,
13,exercise\lateral+extensions\bw1.jpg,lateral extension,,,
13,exercise\lateral+extensions\bw2.jpg,lateral extension,,,
13,exercise\lateral+extensions\bw3.jpg,lateral extension,,,
20,exercise\lateral+raise\bw1.jpg,lateral raises,,,
20,exercise\lateral+raise\bw2.jpg,lateral raises,,,
20,exercise\lateral+raise\bw3.jpg,lateral raises,,,
43,exercise\leg+curls\bw1.jpg,leg curls,,,
43,exercise\leg+curls\bw2.jpg,leg curls,,,
43,exercise\leg+curls\bw3.jpg,leg curls,,,
43,exercise\leg+curls\bw4.jpg,leg curls,,,
40,exercise\leg+extensions\bw1.jpg,leg extensions,,,
40,exercise\leg+extensions\bw2.jpg,leg extensions,,,
40,exercise\leg+extensions\bw3.jpg,leg extensions,,,
26,exercise\leg+liberator\bw1.jpg,leg liberator,,,
26,exercise\leg+liberator\bw2.jpg,leg liberator,,,
26,exercise\leg+liberator\bw3.jpg,leg liberator,,,
39,exercise\leg+press\bw2.jpg,leg press,,,
39,exercise\leg+press\bw3.jpg,leg press,,,
28,exercise\loose+arm-ony\bw1.jpg,loose arm-ony,,,
28,exercise\loose+arm-ony\bw2.jpg,loose arm-ony,,,
28,exercise\loose+arm-ony\bw3.jpg,loose arm-ony,,,
27,exercise\lower+back+lubricator\bw1.jpg,back lubricator,,,
27,exercise\lower+back+lubricator\bw2.jpg,back lubricator,,,
27,exercise\lower+back+lubricator\bw3.jpg,back lubricator,,,
27,exercise\lower+back+lubricator\bw4.jpg,back lubricator,,,
27,exercise\lower+back+lubricator\bw5.jpg,back lubricator,,,
46,exercise\lunges\bw1.jpg,lunges,,,
18,exercise\military+press\bw1.jpg,military press,,,
18,exercise\military+press\bw2.jpg,military press,,,
18,exercise\military+press\bw3.jpg,military press,,,
18,exercise\military+press\bw4.jpg,military press,,,
18,exercise\military+press\bw5.jpg,military press,,,
31,exercise\neck+stup\bw1.jpg,neck stup,,,
31,exercise\neck+stup\bw2.jpg,neck stup,,,
31,exercise\neck+stup\bw3.jpg,neck stup,,,
15,exercise\overhead+extensions\bw1.jpg,overhead extensions,,,
15,exercise\overhead+extensions\bw2.jpg,overhead extensions,,,
15,exercise\overhead+extensions\bw3.jpg,overhead extensions,,,
54,exercise\pullover\bw1.jpg,pull over,,,
54,exercise\pullover\bw2.jpg,pull over,,,
52,exercise\push-ups\bw1.jpg,push up press,,,
52,exercise\push-ups\bw2.jpg,push up press,,,
52,exercise\push-ups\bw3.jpg,push up press,,,
52,exercise\push-ups\bw4.jpg,push up press,,,
32,exercise\quad-lity\bw1.jpg,quad-lity,,,
32,exercise\quad-lity\bw2.jpg,quad-lity,,,
30,exercise\relaxalator\bw1.jpg,relaxalator,,,
17,exercise\resisted+kicks\bw1.jpg,resisted kicks,,,
17,exercise\resisted+kicks\bw2.jpg,resisted kicks,,,
17,exercise\resisted+kicks\bw3.jpg,resisted kicks,,,
17,exercise\resisted+kicks\bw4.jpg,resisted kicks,,,
17,exercise\resisted+kicks\bw5abduc1.jpg,resisted kicks,,,
17,exercise\resisted+kicks\bw6abduc2.jpg,resisted kicks,,,
17,exercise\resisted+kicks\bw7adduc1.jpg,resisted kicks,,,
17,exercise\resisted+kicks\bw8adduc2.jpg,resisted kicks,,,
36,exercise\reverse+curls\bw1.jpg,reverse curls,,,
36,exercise\reverse+curls\bw2.jpg,reverse curls,,,
36,exercise\reverse+curls\bw3.jpg,reverse curls,,,
6,exercise\reverse+flyes\bw1.jpg,reverse flyes,,,
6,exercise\reverse+flyes\bw2.jpg,reverse flyes,,,
3,exercise\seated+rows\bw1.jpg,seated band rows,,,
3,exercise\seated+rows\bw3.jpg,seated band rows,,,
3,exercise\seated+rows\bw4.jpg,seated band rows,,,
25,exercise\shrugs\1.+MAYBE_NO+IMG_0746.JPG,shrugs,,,
25,exercise\shrugs\2.+MAYBE_NO+IMG_0747.JPG,shrugs,,,
25,exercise\shrugs\3.+MAYBE+IMG_0748.JPG,shrugs,,,
25,exercise\shrugs\4.+MAYBEIMG_0749.JPG,shrugs,,,
25,exercise\shrugs\5.+MAYBE_+NO+IMG_0750.JPG,shrugs,,,
23,exercise\skiers\bw1.jpg,skiers,,,
23,exercise\skiers\bw2.jpg,skiers,,,
38,exercise\squats\bw2.jpg,squats,,,
38,exercise\squats\bw3.jpg,squats,,,
38,exercise\squats\bw4.jpg,squats,,,
38,exercise\squats\bw5.jpg,squats,,,
38,exercise\squats\bw6.jpg,squats,,,
5,exercise\straight+arm+pulldown\bw1.jpg,straight arm pulldowns,,,
5,exercise\straight+arm+pulldown\bw2.jpg,straight arm pulldowns,,,
5,exercise\straight+arm+pulldown\bw3.jpg,straight arm pulldowns,,,
5,exercise\straight+arm+pulldown\bw4.jpg,straight arm pulldowns,,,
42,exercise\straight-leg+deadlift\bw1.jpg,straight leg deadlift,,,
42,exercise\straight-leg+deadlift\bw2.jpg,straight leg deadlift,,,
66,exercise\the+aligner\bw1.jpg,aligner,,,
66,exercise\the+aligner\bw2.jpg,aligner,,,
66,exercise\the+aligner\bw3.jpg,aligner,,,
66,exercise\the+aligner\bw4.jpg,aligner,,,
66,exercise\the+aligner\bw5.jpg,aligner,,,
67,exercise\the+bicycle\bw1.jpg,bicycle,,,
67,exercise\the+bicycle\bw2.jpg,bicycle,,,
67,exercise\the+bicycle\bw3.jpg,bicycle,,,
67,exercise\the+bicycle\bw4.jpg,bicycle,,,
68,exercise\the+crunch\bw1.jpg,crunch,,,
68,exercise\the+crunch\bw2.jpg,crunch,,,
68,exercise\the+crunch\bw3.jpg,crunch,,,
65,exercise\the+hyperextension\bw1.jpg,hyperextension,,,
65,exercise\the+hyperextension\bw2.jpg,hyperextension,,,
65,exercise\the+hyperextension\bw3.jpg,hyperextension,,,
61,exercise\the+obliquatory\bw1.jpg,obliquatory,,,
61,exercise\the+obliquatory\bw2.jpg,obliquatory,,,
62,exercise\the+plank\bw1.jpg,plank,,,
62,exercise\the+plank\bw2.jpg,plank,,,
63,exercise\the+raise\bw1.jpg,raise,,,
63,exercise\the+raise\bw2.jpg,raise,,,
63,exercise\the+raise\bw3.jpg,raise,,,
64,exercise\the+roll\bw1.jpg,roll,,,
64,exercise\the+roll\bw2.jpg,roll,,,
64,exercise\the+roll\bw3.jpg,roll,,,
59,exercise\the+side+bend\bw1.jpg,side bend,,,
59,exercise\the+side+bend\bw2.jpg,side bend,,,
59,exercise\the+side+bend\bw3.jpg,side bend,,,
59,exercise\the+side+bend\bw4.jpg,side bend,,,
59,exercise\the+side+bend\bw5.jpg,side bend,,,
60,exercise\the+side+bridge\bw1.jpg,side bridge,,,
60,exercise\the+side+bridge\bw2.jpg,side bridge,,,
69,exercise\the+squeeze\bw1.jpg,squeeze,,,
69,exercise\the+squeeze\bw2.jpg,squeeze,,,
56,exercise\the+superman\bw1.jpg,superman,,,
56,exercise\the+superman\bw2.jpg,superman,,,
56,exercise\the+superman\bw3.jpg,superman,,,
57,exercise\the+twist\bw1.jpg,twist,,,
57,exercise\the+twist\bw2.jpg,twist,,,
58,exercise\the+woodchopper\bw1.jpg,woodchopper,,,
58,exercise\the+woodchopper\bw2.jpg,woodchopper,,,
58,exercise\the+woodchopper\bw3.jpg,woodchopper,,,
58,exercise\the+woodchopper\bw4.jpg,woodchopper,,,
9,exercise\tricep+pushdown\bw1.jpg,tricep pushdown,,,
9,exercise\tricep+pushdown\bw2.jpg,tricep pushdown,,,
21,exercise\upright+rows\bw1.jpg,upright rows,,,
21,exercise\upright+rows\bw2.jpg,upright rows,,,
21,exercise\upright+rows\bw4.jpg,upright rows,,,
14,exercise\vertical+extensions\bw1.jpg,vertical extensions,,,
14,exercise\vertical+extensions\bw2.jpg,vertical extensions,,,
14,exercise\vertical+extensions\bw3.jpg,vertical extensions,,,
33,exercise\wicked+chicken+wing\bw1.jpg,wicked chicken wing,,,
33,exercise\wicked+chicken+wing\bw2.jpg,wicked chicken wing,,,
16,exercise\wrapped+shoulder+extension\bw1.jpg,wrapped shoulder extension,,,
16,exercise\wrapped+shoulder+extension\bw2.jpg,wrapped shoulder extension,,,
16,exercise\wrapped+shoulder+extension\bw3.jpg,wrapped shoulder extension,,,
